747.9912874168725:['X3406', 'Y-1425', 'Z0', 'A0']:['X-413', 'Y-12667', 'Z0', 'A0']:760.3903725638248
747.9912874168725:['X3406', 'Y-1425', 'Z0', 'A0']:['X-288', 'Y-12817', 'Z0', 'A0']:775.4258444052597
747.9912874168725:['X3406', 'Y-1425', 'Z0', 'A0']:['X-294', 'Y-12810', 'Z0', 'A0']:775.4258444052597
759.9922127864505:['X2666', 'Y-1112', 'Z0', 'A0']:['X-317', 'Y-12790', 'Z0', 'A0']:772.7957617767896
759.9922127864505:['X2666', 'Y-1112', 'Z0', 'A0']:['X-423', 'Y-12665', 'Z0', 'A0']:759.9922127864505
770.0040860572075:['X2046', 'Y-850', 'Z0', 'A0']:['X-350', 'Y-12775', 'Z0', 'A0']:770.0040860572075
770.0040860572075:['X2046', 'Y-850', 'Z0', 'A0']:['X-236', 'Y-12882', 'Z0', 'A0']:783.1501136244235
770.0040860572075:['X2046', 'Y-850', 'Z0', 'A0']:['X-58', 'Y-13027', 'Z0', 'A0']:799.1085738702544
799.9958284587223:['X174', 'Y-39', 'Z0', 'A0']:['X87', 'Y-13177', 'Z0', 'A0']:814.1953208110706
799.9958284587223:['X174', 'Y-39', 'Z0', 'A0']:['X284', 'Y-13282', 'Z0', 'A0']:831.4580365017173
799.9958284587223:['X174', 'Y-39', 'Z0', 'A0']:['X-48', 'Y-13033', 'Z0', 'A0']:799.9958284587223
819.9973337334575:['X-1087', 'Y492', 'Z0', 'A0']:['X180', 'Y-13200', 'Z0', 'A0']:819.9973337334575
819.9973337334575:['X-1087', 'Y492', 'Z0', 'A0']:['X308', 'Y-13308', 'Z0', 'A0']:834.9223572623422
819.9973337334575:['X-1087', 'Y492', 'Z0', 'A0']:['X471', 'Y-13425', 'Z0', 'A0']:853.0849801887516
839.9935082452821:['X-2358', 'Y1034', 'Z0', 'A0']:['X494', 'Y-13439', 'Z0', 'A0']:855.6622747265329
839.9935082452821:['X-2358', 'Y1034', 'Z0', 'A0']:['X344', 'Y-13365', 'Z0', 'A0']:839.9935082452822
680.2553078207626:['X7520', 'Y-3174', 'Z0', 'A0']:['X-1207', 'Y-1164', 'Z0', 'A0']:680.2553078207626
